name,url,image
Danielle S Bassett,https://www.danisbassett.com/,./images/coauthor/daniBassett.jpg
Mason A Porter,https://www.math.ucla.edu/~mason/,./images/coauthor/masonPorter.jpg
Benjamin F Maier,http://benmaier.org/about/,./images/coauthor/bfmaier.jpeg
Peter J Mucha,http://mucha.web.unc.edu,./images/coauthor/peterMucha.jpg
Dane Taylor,https://sites.google.com/site/danetaylorresearch/,./images/coauthor/daneTaylor.jpg
Jean M Carlson,http://web.physics.ucsb.edu/~complex/,./images/coauthor/jeanCarlson.jpg
Javier Borge-Holthoefer,
Niels Wessel,http://cvp.physik.hu-berlin.de,./images/coauthor/NielsWessel.jpg
J{\"u}rgen Kurths,https://www.pik-potsdam.de/members/kurths,./images/coauthor/Juergenkurths.svg
Gorka Zamora-L{\'o}pez,http://www.zamora-lopez.xyz,./images/coauthor/GorkaZLopez.jpg
Heather A Harrington,http://people.maths.ox.ac.uk/harrington/index.html,./images/coauthor/heatherHarrington.jpg
Miroslav Kramar,http://www.wpi-aimr.tohoku.ac.jp/hiraoka_labo/miroslav
Jonny Wray,http://www.jonnywray.com/,./images/coauthor/jonny_wray.jpg
Konstantin Mischaikow,https://www.math.rutgers.edu/~mischaik/
